src,trg,pred,methodology
वह जीवन में हरल्लु  हैं।,वह जीवन में अच्छा काम नहीं कर रहे है।,वह जीवन में हरल्लु हैं।,knowledge_transfer
और वे इसे महसूस करने के लिए बहुत अज्ञानी हैं।,और वे इसे महसूस करने के लिए बहुत भोले हैं।,और वे इसे महसूस करने के लिए बहुत अज्ञानी हैं।,knowledge_transfer
तू हाड़-मांस की बर्बादी हैं।,आप एक निराशा हैं।,तू हाड़-मांस की बर्बादी हैं।,knowledge_transfer
"अगर उसने क्रूरता से काम किया है, तो पोलिस उसकी गाँड मार लेगी। ","अगर उसने क्रूरता से काम किया है, तो पोलिस उसे छोड़ेगी नहीं। ","अगर उसने क्रूरता से काम किया है, तो पोलिस उसकी गाँड मार लेगी। ",knowledge_transfer
यह भयंकर लोकतांत्रिक लगता है।,यह बहुत लोकतांत्रिक लगता है।,यह लोकतांत्रिक लगता है,knowledge_transfer
"नहीं, यह बिलकुल बकवास है।","नहीं, यह अनुचित है","नहीं, यह बिलकुल बकवास है।",knowledge_transfer
चूतियाप बंद करो  - यह अंतर्राष्ट्रीय हवाई क्षेत्र है,दूर रहें यह एक अंतरराष्ट्रीय हवाई क्षेत्र है,यह अंतर्राष्ट्रीय हवाई क्षेत्र है,knowledge_transfer
इब्राहिम हाल ही में लौड़ू जैसा बर्ताव कर रहा है।,इब्राहिम हाल ही में मतलबी इनसान की तरह पेश आ रहा है।,इब्राहिम हाल में लौड़ू जैसा बर्ताव कर रहा है,knowledge_transfer
वहां साला एक कोयला प्लांट बनाओ और उन सभी को अपनी खुद की बकचोदी से घुट कर मारने दो। ,वहां एक कोयला प्लांट बनाओ और उन सभी को अपनी खुद की बकवास से घुट कर मारने दो। ,वहां साला एक कोयला प्लांट बनाओ और उन सभी को अपनी खुद की बकचोदी से घुट कर मारने दो,knowledge_transfer
मेरी जानकारी में पहले लोग जहां जूतों की एक जोड़ी के लिए मारने और मारने वाले दोनों काले थे।,मेरी जानकारी में पहले लोग जहां जूतों की एक जोड़ी के लिए मारने और मारने वाले दोनों रंग के लोग थे। ,पहले लोग जहां जूतों की एक जोड़ी के लिए मारने और मारने वाले दोनों काले थे,knowledge_transfer
अपने विश्व इतिहास को पढ़ो और जागो सालों,अपने विश्व इतिहास पढ़ें और जागें,अपने विश्व इतिहास को पढ़ो और जागो सालों,knowledge_transfer
"अरब ने इसका स्वयं नाश किया, और हम सिर्फ उन लोगों की मदद करते है जो कम बुरे हैं।","अरब ने इसे स्वयं बिगाड़ दिया, और हम सिर्फ उन लोगों की मदद करते है जो कम बुरे हैं।","अरब ने इसका स्वयं नाश किया, और हम सिर्फ उन लोगों की मदद करते है जो कम बुरे हैं।",knowledge_transfer
वास्तव में सबसे उदास बात साली ये है कि उन्होंने पहले इस कहानी की अंक maannews में कोशिश की।,वास्तव में दुखद बात ये है कि उन्होंने पहले इस कहानी की अंक maannews में कोशिश की।,वास्तव में सबसे उदास बात है कि उन्होंने पहले इस कहानी की अंक maannews में कोशिश की।,knowledge_transfer
स्कॉट ब्रिसन जैसे लोग एक कैंसर हैं और उन्हें ख़त्म करने की ज़रूरत है।,स्कॉट ब्रिसन जैसे लोग एक बड़ी समस्या है और उन्हें मिटाने की आवश्यकता है।,स्कॉट ब्रिसन जैसे लोग एक कैंसर हैं और उन्हें ख़त्म करने की ज़रूरत है,knowledge_transfer
"अगर तूझे चुदाई करानी हैं, तो ग्राइंडेर आज़मा के देख।","अगर तूझे डेट पर जाना है , तो ग्राइंडेर आज़मा के देख","अगर तूझे चुदाई करानी हैं, तो ग्राइंडेर आज़मा के देख।",knowledge_transfer
क्या यूटूब पर ख़राब गुणवत्ता में विडीओ अपलोड करने का विकल्प है ताकि यह तेजी से अपलोड हो? ।,क्या यूटूब पर ख़राब गुणवत्ता में विडीओ अपलोड करने का विकल्प है ताकि यह तेजी से अपलोड हो? ।,क्या यूटूब पर विडीओ अपलोड करने का विकल्प है ताकि यह तेजी से अपलोड हो?,knowledge_transfer
यह सब एक वेश्या की ओर ध्यान दिलाने के लिए है जो एक सील वॉशआउट है।,यह सब एक ध्यान आकर्षित करने के लिए है जो एक लेबल फ्लॉप है।,यह सब एक सील वॉशआउट है जो एक सील वॉशआउट है।,knowledge_transfer
लौड़ू मत बनो और लेखों में बेवकूफ और स्पष्ट बर्बरता जोड़ें।,ऐसे मत बनो और लेख में स्पष्ट बर्बरता जोड़ें।,लौड़ू मत बनो और लेखों में स्पष्ट बर्बरता जोड़ें।,knowledge_transfer
तू एक सिंपलटन का तर्क दे रहा है। ,आप तर्क ऐसे दे रहे हैं जैसे आपको तर्क करना नही आता। ,तू एक सिंपलटन का तर्क दे रहा है ,knowledge_transfer
कायर इंटरनेट के अंधेरे स्थानों तक ही सीमित हैं जहां वे हैं।,कमजोर इंटरनेट के नाकामयाब स्थानों तक ही सीमित हैं जहां उन्हें होना चाहिए। ,कायर इंटरनेट के अंधेरे स्थानों तक ही सीमित हैं जहां वे हैं।,knowledge_transfer
हार्पर को अभी के अभी दफ्तर से दफा हो जाना चाहिए,हार्पर को दफ्तर से बाहर निकल जाना चाहिए,हार्पर को अभी दफ्तर से दफा हो जाना चाहिए,knowledge_transfer
यह कुछ क्लॉकवर्क ऑरेंज के स्तर की बकवास है।,यह कुछ क्लॉकवर्क ऑरेंज के स्तर की बात है।,यह कुछ क्लॉकवर्क ऑरेंज के स्तर की बकवास है।,knowledge_transfer
नहीं चमन चूतिए यह एक बोल्ड एक्शन है! ।,यह बोल्ड एक्शन है,यह एक बोल्ड एक्शन है।,knowledge_transfer
मुझे उस सब से यही समझ में आया की सब बर्बाद होने वाला है और किसी की तैयारी नही है। ,"इससे मुझे बस इतना ही पता चला कि जो होना है होगा और कोई भी इसके लिए तैयार नहीं होगा।
",मुझे उस सब से यही समझ में आया की सब बर्बाद होने वाला है और किसी की तैयारी नही है,knowledge_transfer
हमारे वाले की भी भयंकर लगी पड़ी है।,हमारा वाला भी अच्छा नही है।,हमारे वाले की भी भयंकर लगी है।,knowledge_transfer
ब्रूबेकर आइ डी प्राप्त करें और अपनी गाँड को मंगल पर ले जाएं! ।,ब्रूबेकर आइ डी प्राप्त करें और खुद को को मंगल पर ले जाएं! ।,आइ डी प्राप्त करें और अपनी गाँड को मंगल पर ले जाएं!,knowledge_transfer
"चलो छोड़ो, तूने  फिर से साबित कर दिया है कि तू एक पाखंडी हैं।","चलए छोड़िए, आपने साबित कर दिया है कि आप अविश्वसनीय हैं।","चलो छोड़ो, तूने फिर से साबित कर दिया है कि आप एक पाखंडी हैं",knowledge_transfer
साला ज्यादा आग बालकनियों पर थी जिससे दूसरों पर आग की लपटें जा रही थीं।,ज्यादा आग बालकनियों पर थी जिससे दूसरों पर आग की लपटें जा रही थीं।,साला ज्यादा आग बालकनियों पर थी जिससे दूसरों पर आग की लपटें जा रही थीं,knowledge_transfer
तुम आलसी गाँडू कुछ कर नहीं सकते?,क्या आप कुछ नहीं कर सकते?,आप आलसी गाँडू कुछ कर सकते हैं?,knowledge_transfer
"तुम बूढ़े, थके हुए और उबाऊ हो",आप बूढ़े हो रहे हैं,"आप बूढ़े, थके और उबाऊ हो",knowledge_transfer
अब यह कहने के लिए बहुत ही वाहियात सी बात है। ,अब यह कहने के लिए सिर्फ एक बेकार बात है।,अब यह कहने के लिए बहुत ही वाहियात सी बात है। ,knowledge_transfer
"यदि यह नौबत आ जाती है तो संख्या बहुत सी कमबख्त समस्याओं को हल करेगी ।
","यदि यह नौबत आ जाती है तो संख्या बहुत सी समस्याओं को हल करेगी ।
",यदि यह नौबत आ जाती है तो संख्या बहुत सी समस्याओं को हल करेगी ,knowledge_transfer
 यातना भी ऐसी ही है उन्हें परवाह भी क्यों हो? ।, यातना भी ऐसी ही है वो परवाह भी क्यों करें?,यातना भी ऐसी है उन्हें परवाह भी क्यों हो?,knowledge_transfer
ब्रायन्स स्ट्रीम पर गंद मचाया जा रहा है। ,ब्रायन्स स्ट्रीम पर एक समस्या है।,ब्रायन्स स्ट्रीम पर गंद मचाया जा रहा है ,knowledge_transfer
6. क्या तू पागल है?,आप पागल हैं क्या?,क्या आप पागल हैं?,knowledge_transfer
"अगर खतना ने एक लंड को आधा इंच तक कम कर दिया, तो निश्चित रूप से कबाड़ा हो जाएगा। ","अगर खतना ने आधा इंच तक कम कर दिया, तो निश्चित रूप से कबाड़ा हो जाएगा। ","अगर खतना ने एक लंड को आधा इंच तक कम कर दिया, तो निश्चित रूप से कबाड़ा हो जाएगा ",knowledge_transfer
"इसकी माँ की, यह साला ज़ू रणनीति है। ",यह एक बुरी रणनीति है,इसकी माँ की रणनीति है ,knowledge_transfer
माँ की आँख क्यों यह अधिक नहीं है? ? ?,यह अधिक क्यों नहीं है? ? ?,माँ की आँख क्यों अधिक नहीं है?,knowledge_transfer
"हमने उन्हें अल्पसंख्यक नहीं चुना, जो गीदड़ को शेर समझने की गलती करता है वो ही युद्ध भड़काने वाले को चुनता है ।","हम अल्पसंख्यक को नहीं चुनते हैं, जो निर्वाचित योद्धाओं को तानाशाह समझ लेते हैं। ","हमने उन्हें अल्पसंख्यक नहीं चुना, जो गीदड़ को शेर समझने की गलती करता है वो ही युद्ध भड़काने वाले को चुनता है",knowledge_transfer
या बस इस रंडी के साथ जाओ।,या बस इस बुरे व्यक्ति के साथ जाओ,या बस इस रंडी के साथ जाओ,knowledge_transfer
कृपया मुझे अन्य विकिपीडियन चूतियों के इल्ज़ाम में ना हटाएँ ,"कृपया, मुझे आक्रामक होने के लिए मत हटाओ।",कृपया मुझे अन्य विकिपीडियन चूतियों के इल्ज़ाम में ना जाना,delete_recons
"अगर कोई भी युवा उसकी बकचोदियों से प्रभावित होता है, तो उसकी ओर से अपराध है। ","अगर कोई भी युवा उसकी बकचोदियों से प्रभावित होता है, तो उसकी ओर से ग़लत है। ","अगर कोई भी युवा उसकी बकचोदियों से प्रभावित होता है, तो उसकी ओर से अपराध है।",delete_recons
"माँ की आँख, ऐसे कौन सोचता है?",ओह ऐसे कौन सोचता है?,"माँ की आँख, ऐसे कौन सोचता है?",delete_recons
कुछ भी नहीं कहना और चूतिया लगना बेहतर है ना कि मुंह को खोलना और इस बात की पुष्टि करना। ,कुछ भी नहीं कहना मूर्ख प्रतीत होना बेहतर है ना कि मुंह को खोलना और इसकी पुष्टि करना। ,कुछ भी नहीं कहना और चूतिया लगना बेहतर है ना कि मुंह को खोलना और इस बात की पुष्टि करना।,delete_recons
"माँ की आँख, वह आर्टिकल ऐड  से भरा हुआ था।", वह आर्टिकल ऐड  से भरा हुआ था।,"माँ की आँख, वह आर्टिकल ऐड से भरा हुआ था।",delete_recons
"तू एक कमजोर और असुरक्षित अहंकारी अपने स्वयं के भ्रमित महत्व को स्ट्रोक कर रहा है, मिनशेल।",आपके पास कुछ असुविधाजनक गुण हैं,"तू एक कमजोर और असुरक्षित अहंकारी अपने स्वयं के भ्रमित महत्व को स्ट्रोक कर रहा है, मिनशेल?",delete_recons
तुझे अपनी अज्ञानता कहां मिलती है?,आपको अपना भोलापन कहाँ मिलता है?,तुझे अपनी अज्ञानता कहां मिलती है?,delete_recons
"चुनिंदा सेंसरशिप और तथ्यात्मक और सही बयानों की रिपोर्टिंग न करना वह अन्य नेताओं के मूर्खतापूर्ण निर्णयों का फायदा उठाते हैं!
",चुनिंदा सेंसरशिप और तथ्यात्मक और सही बयानों की गैर-रिपोर्टिंग वह अन्य नेताओं के गैर-जिम्मेदाराना निर्णयों का फायदा उठाते हैं।,चुनिंदा सेंसरशिप और तथ्यात्मक और सही बयानों की रिपोर्टिंग न करना वह अन्य नेताओं के मूर्खतापूर्ण निर्णयों का फायदा उठाते हैं.,delete_recons
तुम आलसी गाँडू कुछ कर नहीं सकते?,क्या आप कुछ नहीं कर सकते?,तुम आलसी गाँडू कुछ कर नहीं सकते?,delete_recons
"जल्दी मतदान के दिन कम करने से , संयुक्त राज्य अमेरिका के नागरिकों की लंका लगा रहा है।","जल्दी मतदान के दिन कम करने से , संयुक्त राज्य अमेरिका के नागरिकों की असर कर रहा है।","जल्दी मतदान के दिन कम करने से, संयुक्त राज्य अमेरिका के नागरिकों की लगा रहा है।",delete_recons
"बकवास, आप जानते हैं कि कान्ये अब लोगों का सिर कलम करना शुरू करने जा रहा है।",आप जानते हैं कि कान्ये अब व्यक्तियों को मारना शुरू कर देगा।,", आप जानते हैं कि कान्ये अब लोगों का सिर कलम करना शुरू करने जा रहा है।",delete_recons
यह दिखावा करने की कोशिश करना बंद करो कि अमेरिका इस तरह का पिछड़ा हुआ गंदगी का ढेर है।,यह दिखावा करने की कोशिश करना बंद करो कि अमेरिका ऐसा कुछ भी है,यह दिखावा करने की कोशिश करना बंद करो कि अमेरिका इस तरह का [UNK] हुआ गंदगी का ढेर है।,delete_recons
"हां, अमेरिकियों के पास चौगुनी नागरिकता है इसलिए अगर कहीं और गंदगी गंभीर हो जाती है तो कहीं और जाने के लिए कुछ होता है ","हां, अमेरिकियों के पास चौगुनी नागरिकता है इसलिए अगर कहीं और स्थिति गंभीर हो जाती है तो कहीं और जाने के लिए कुछ होता है ","हां, अमेरिकियों के पास चौगुनी नागरिकता है इसलिए अगर कहीं और गंदगी गंभीर हो जाती है तो कहीं और जाने के लिए कुछ होता है",delete_recons
"शांत हो जाओ, सी एन  एन","कृपया अपनी नसों को शांत करें, सी एन  एन।","शांत हो जाओ, सी एन एन",delete_recons
क्या यूटूब पर ख़राब गुणवत्ता में विडीओ अपलोड करने का विकल्प है ताकि यह तेजी से अपलोड हो? ।,क्या यूटूब पर ख़राब गुणवत्ता में विडीओ अपलोड करने का विकल्प है ताकि यह तेजी से अपलोड हो? ।,क्या यूटूब पर ख़राब गुणवत्ता में विडीओ अपलोड करने का विकल्प है ताकि यह लाखों लोगों से अपलोड हो?,delete_recons
"भयानक स्कॉटिश, अंग्रेजी और आयरिश लहजे इतने खराब तरीके से किए जाते हैं कि वे सिर्फ नस्लवादी के रूप में नज़र आते हैं।","भयानक स्कॉटिश, अंग्रेजी और आयरिश लहजे इतने खराब तरीके से किए जाते हैं कि वे सिर्फ नस्लवादी के रूप में नज़र आते हैं","भयानक स्कॉटिश, अंग्रेजी और आयरिश लहजे इतने खराब तरीके से किए जाते हैं कि वे सिर्फ नस्लवादी के रूप में नज़र आते हैं.",delete_recons
कोई भी स्वाभिमानी ऑस्ट्रेलियाई या न्यूजीलैंड का सम्मान करने वाला इस तरह के घृणित बकवास को नही पढ़ेगा।,कोई भी स्वाभिमानी ऑस्ट्रेलियाई या न्यूजीलैंड ऐसी घृणित चीजों को नहीं पढ़ेगा।,कोई भी स्वाभिमानी ऑस्ट्रेलियाई या न्यूजीलैंड का सम्मान करने वाला इस तरह के घृणित को नही पढ़ेगा।,delete_recons
एक एक बहुत ही कमाल का तर्क है। ,यह एक शानदार तर्क है।,एक एक बहुत ही कमाल का तर्क है।,delete_recons
एक गाँडू नस्लवादी टिप्पणी है।,एक नस्लवादी टिप्पणी है।,एक गाँडू नस्लवादी टिप्पणी है।,delete_recons
एक स्वार्थी चूतिया होने की विरासत।,एक स्वार्थी व्यक्ति होने की विरासत,एक स्वार्थी चूतिया होने की विरासत।,delete_recons
मैं पक्षों के बारे में परवाह नहीं करता!।,मुझे पक्षों की परवाह नहीं है,मैं पक्षों के बारे में परवाह नहीं करता!?,delete_recons
उनके वर्तमान राष्ट्रपति कचरे का ट्रक चलाते थे।,इसके वर्तमान राष्ट्रपति एक आम नागरिक थे,उनके वर्तमान राष्ट्रपति कचरे का ट्रक चलाते थे।,delete_recons
तू मांचोद लौड़ू है!,आप वास्तव में परेशान करते हैं,तू है?,delete_recons
जवाब शायद सिर्फ इतना है कि तू एक ज्वलंत होमो है।,जवाब शायद सिर्फ इतना है कि आप भोले हैं,जवाब शायद सिर्फ इतना है कि तू एक ज्वलंत होमो है?,delete_recons
"पुलिस को गोली मार दी गई थी, कई मोलोटोव कमबख्त टट्टी कहीं के।",पुलिस को कई मोलोटोव दागे गए थे।,"पुलिस को गोली मार दी गई थी, कई मोलोटोव टट्टी कहीं के।",delete_recons
यह भयंकर लोकतांत्रिक लगता है।,यह बहुत लोकतांत्रिक लगता है।,यह भयंकर लोकतांत्रिक लगता है।,delete_recons
 संभावना है कि वे निकम्मे कोच भाइयों द्वारा खरीदे गए थे।, संभावना है कि वे कोच भाइयों द्वारा खरीदे गए थे।,संभावना है कि वे निकम्मे कोच भाइयों द्वारा खरीदे गए थे।,delete_recons
मैं हालांकि एक निहायती बेवक़ूफ़ बच्चा था।,मैं हालांकि एक कमजोर बच्चा था,मैं हालांकि एक निहायती बेवक़ूफ़ बच्चा था।,delete_recons
जीटी ओबामा झूठ बोलने वाली कचरे की एक  बोरी है।,जीटी ओबामा अविश्वसनीय व्यक्ति हैं।,ओबामा झूठ बोलने वाली कचरे की एक बोरी है।,delete_recons
भाड़ में जाए: एंकरेज को टेक्सास में ले जाओ जहां उसकी सही जगह है!,"यह संभव नहीं है, बस एंकरेज को टेक्सास में ले जाएं",भाड़ में जाए: एंकरेज को टेक्सास में ले जाओ जहां उसकी सही जगह है?,delete_recons
क्या काले खिलाड़ियों ने एक काले रंग की गंदगी द्वारा ओकलैंड में सफेद शिक्षक की हत्या का विरोध किया था?,क्या काले खिलाड़ियों ने ओकलैंड में श्वेत शिक्षक के हत्यारे का विरोध किया था?,क्या काले खिलाड़ियों ने एक काले रंग की गंदगी द्वारा में सफेद शिक्षक की हत्या का विरोध किया था?,delete_recons
"मुझे परेशान कर, साले कुत्ते, मेरी नसों पर चढ़।",आपने मुझे परेशान किया,"मुझे कर, साले कुत्ते, मेरी नसों पर चढ़।",delete_recons
इस तरह के क्रेटिन शायद ही कभी तथ्यों की परवाह करते हैं।,इस तरह के लोग शायद ही कभी तथ्यों की परवाह करते हैं,इस तरह के क्रेटिन शायद ही कभी तथ्यों की परवाह करते हैं.,delete_recons
"इसकी माँ की, यह साला ज़ू रणनीति है। ",यह एक बुरी रणनीति है,"इसकी माँ की, यह साला ज़ू रणनीति है।",delete_recons
"ल्यूक, जब तू किसी को बेवकूफ कहता है , तो क्या तू प्रोजेक्ट कर रहा है?","ल्यूक, जब आप किसी को बुद्धु कहते हैं, तो क्या आप प्रोजेक्ट कर रहे हैं?","ल्यूक, जब तू किसी को बेवकूफ कहता है, तो क्या तू प्रोजेक्ट कर रहा है?",delete_recons
"ये कोई बकवास नही है , लॉकहीड या रेथियॉन या बोइंग या तू कोई नाम बता दे, यह अपने जिलों के आधे लोगों को कर्मचारी नियुक्त करता है।","लॉकहीड या रेथियॉन या बोइंग या तू कोई नाम बता दे, यह अपने जिलों के आधे लोगों को कर्मचारी नियुक्त करते हैं।","ये कोई नही है, लॉकहीड या रेथियॉन या या तू कोई नाम बता दे, यह अपने जिलों के आधे लोगों को कर्मचारी नियुक्त करता है।",delete_recons
कॉलिन कापरनिक एक बेवकूफ है।,कॉलिन कापरनिक एक मुसीबत है,एक है।,delete_recons
हमारे वाले की भी भयंकर लगी पड़ी है।,हमारा वाला भी अच्छा नही है।,हमारे वाले की भी भयंकर लगी पड़ी है।,delete_recons
अब यह कहने के लिए बहुत ही वाहियात सी बात है। ,अब यह कहने के लिए सिर्फ एक बेकार बात है।,अब यह कहने के लिए बहुत ही वाहियात सी बात है।,delete_recons
तू क्या बकवास बात कर रहा है?,तुम किस बारे में बात कर रहे हो ?,तू क्या बात कर रहा?,delete_recons
यह बकवास सोचते ही रक्तचाप बढ़ जाता है। ,इस गड़बड़ के बारे में सोचना हाई भारी है। ,यह सोचते ही रक्तचाप बढ़ जाता है।,delete_recons
"बिलकुल नही, बस और ज़्यादा बेवकूफ़ी भरी रूसी बकवास।","बिलकुल नही, रूस के साथ और मुसीबतें ","बिलकुल नही, बस और ज़्यादा भरी रूसी।",delete_recons
"तेरे प्रश्न अजीब हैं, क्या तू बलात्कारी है?","आपके प्रश्न विषम हैं, क्या आपके उल्टे इरादे हैं?","तेरे प्रश्न अजीब हैं, क्या तू बलात्कारी है?",delete_recons
गंदे सफेद मैगॉट सब के सब!,सफेद मैगॉट सुरक्षित नहीं हैं,सफेद मैगॉट सब के सब.,delete_recons
जब तक कि हम यू एस का पिछवाड़ा ना खोल दें । ,जब तक कि हम यू एस का डब्बा ना खोल दें ,जब तक कि हम यू एस का पिछवाड़ा ना खोल दें।,delete_recons
उम्मीद है कि यह कमबख्त सड़कों को ठीक करने के प्रोत्साहन के लिए पर्याप्त होगा।,उम्मीद है कि सड़कों को ठीक करने के लिए प्रोत्साहन के लिए पर्याप्त होगा,उम्मीद है कि यह सड़कों को ठीक करने के प्रोत्साहन के लिए पर्याप्त होगा।,delete_recons
"मैं सैन जुआन में छुट्टी मना रहा हूं, और बाप रे हवाएँ कितनी तेज थीं। ",मैं सैन जुआन में छुट्टी पर हूँ और हवाएँ तेज  थीं,"मैं सैन जुआन में छुट्टी मना रहा हूं, और बाप रे हवाएँ कितनी तेज थीं।",delete_recons
तू एक सिंपलटन का तर्क दे रहा है। ,आप तर्क ऐसे दे रहे हैं जैसे आपको तर्क करना नही आता। ,तू एक सिंपलटन का तर्क दे रहा है।,delete_recons
"मैं साउथ पार्क द्वारा तेरे चूतिया पंथ के बारे में एक एपिसोड बनाने तक इंतजार नहीं कर सकता।
","मैं साउथ पार्क द्वारा तुम्हारे बारे में एक एपिसोड बनाने तक इंतजार नहीं कर सकता।
",मैं साउथ पार्क द्वारा तेरे चूतिया पंथ के बारे में एक एपिसोड बनाने तक इंतजार नहीं कर सकता।,delete_recons
ये क्या बवासीर है?,ये क्या है?,ये क्या?,delete_recons
